seq,rtt_ms,oneway_est_ms
1221,9.98,4.99
1222,14.73,7.37
1223,5.49,2.74
1224,33.38,16.69
1225,5.32,2.66
1226,9.72,4.86
1227,14.87,7.43
1228,6.57,3.29
1229,16.42,8.21
1230,6.19,3.09
1231,7.28,3.64
1232,7.53,3.77
1233,5.03,2.51
1234,6.67,3.34
1235,5.21,2.61
1236,17.75,8.88
1237,10.13,5.06
1238,5.26,2.63
1239,6.07,3.03
1240,9.21,4.60
1241,53.05,26.52
1242,22.47,11.23
1243,9.54,4.77
1244,5.09,2.54
1245,11.30,5.65
1246,7.97,3.98
1247,8.15,4.08
1248,11.28,5.64
1249,7.76,3.88
1250,9.20,4.60
1251,9.98,4.99
1252,11.77,5.88
1253,7.11,3.56
1254,9.69,4.85
1255,13.15,6.58
1256,5.54,2.77
1257,6.93,3.47
1258,5.55,2.77
1259,5.59,2.80
1260,5.40,2.70
1261,12.41,6.21
1262,12.66,6.33
1263,9.45,4.73
1264,8.66,4.33
1265,5.44,2.72
1266,40.34,20.17
1267,8.25,4.12
1268,11.26,5.63
1269,24.40,12.20
1270,9.28,4.64
1271,7.83,3.91
1272,9.89,4.95
1273,13.42,6.71
1274,5.98,2.99
1275,9.21,4.60
1276,9.94,4.97
1277,8.95,4.48
1278,5.93,2.96
1279,16.69,8.35
1280,6.18,3.09
1281,7.81,3.90
1282,5.80,2.90
1283,5.67,2.83
1284,13.92,6.96
1285,9.97,4.99
1286,7.23,3.61
1287,10.10,5.05
1288,9.30,4.65
1289,8.35,4.17
1290,10.06,5.03
1291,5.69,2.84
1292,9.13,4.57
1293,7.60,3.80
1294,10.52,5.26
1295,5.81,2.91
1296,10.01,5.00
1297,5.48,2.74
1298,13.90,6.95
1299,5.97,2.98
1300,9.86,4.93
1301,15.13,7.56
1302,7.23,3.62
1303,7.12,3.56
1304,11.08,5.54
1305,5.65,2.83
1306,8.05,4.03
1307,5.45,2.72
1308,5.04,2.52
1309,19.48,9.74
1310,41.49,20.74
1311,18.43,9.22
1312,7.54,3.77
1313,7.75,3.87
1314,4.86,2.43
1315,6.97,3.48
1316,10.29,5.14
1317,14.17,7.08
1318,8.73,4.36
1319,10.50,5.25
1320,7.75,3.87
1321,7.23,3.61
1322,9.98,4.99
1323,13.10,6.55
1324,7.79,3.89
1325,8.55,4.27
1326,8.99,4.49
1327,7.79,3.89
1328,16.60,8.30
1329,9.69,4.84
1330,10.67,5.34
1331,9.92,4.96
1332,5.81,2.91
1333,6.38,3.19
1334,12.36,6.18
1335,6.24,3.12
1336,9.56,4.78
1337,6.26,3.13
1338,5.89,2.94
1339,8.13,4.07
1340,49.61,24.81
1341,13.78,6.89
1342,10.44,5.22
1343,7.27,3.64
1344,10.99,5.50
1345,5.29,2.64
1346,7.13,3.57
1347,8.18,4.09
1348,14.62,7.31
1349,5.69,2.84
1350,6.75,3.38
1351,9.43,4.71
